created_at,text
2018-11-08 08:20:38,"Interesting #MidtermElection2018 USA. LoL, poor guy (rich in reality)!!!"
2018-11-08 08:12:46,@VoiceofGrumpy @Freeyourmindkid To say the unused voting machines were put aside for a lawsuit is no good excuse fo… https://t.co/gR8KqsCnrJ
2018-11-08 08:11:16,"Watching from Vienna and not caring a crap about either party, easy to come to the conclusion they are all nuts. Th… https://t.co/f13YwfMaGr"
2018-11-08 08:08:57,"#MidtermElection2018 sets the record of women to win seats in the House! 
At least 92 women have won seats in the H… https://t.co/d40xSLEBFu"
2018-11-08 07:53:03,"The pro-#Trump brothel owner Dennis Hof, was elected to Nevada’s state legislature #USMidtermElections… https://t.co/zKdsJLnv8M"
2018-11-08 07:26:54,God bless America but this guy is a joke and the Republicans are far more jokers for electing this clown… https://t.co/eUfMJQ0GKT
2018-11-08 07:04:58,"Pelosi as speaker= President Trumps 2nd Term and Republican control of Congress in 2020

You heard it here first fo… https://t.co/Tvfrsirdg6"
2018-11-08 07:02:42,"All you leading ladies, you make me proud, and give me hope!Thinking of @BarackObama ‘s acceptance speech 4 years a… https://t.co/bL6NWq9k3i"
2018-11-08 06:55:44,@POTUS never seen a president so rattled before. Loving it. 😂😂😂😂 #house #MidtermElection2018 #TrumpPresser
2018-11-08 06:54:04,@bsindia #MidtermsElections2018 #MidtermElection2018 #USmidterms trump's yet not scaling a war like obama did in… https://t.co/SsXbpHrEcH
2018-11-08 06:48:43,"We need to really elevate &amp; THANK the organizations that supported, cultivated this next generation of DIVERSE elec… https://t.co/si0rwqoYev"
2018-11-08 06:15:44,The Republic is strong and the right of suffrage is alive. Thank God for a successful midterm election #MidtermElection2018
